Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:24,56.0,49127.0,1270.0,21000.0,58.0,49139.0,1149.0,20000.0,55.0,49156.0,1258.0,20000.0,56.0,49136.0,1204.0,19000.0,56.0,49134.0,762.0,18000.0,56.0,49129.0,724.0,18000.0,,,,,,,,
0:24,56.0,49155.0,1307.0,21000.0,57.0,49150.0,1176.0,20000.0,55.0,49152.0,1272.0,20000.0,56.0,49134.0,1241.0,19000.0,56.0,49114.0,800.0,18000.0,56.0,49118.0,757.0,18000.0,,,,,,,,
0:25,56.0,49125.0,1298.0,21000.0,57.0,49133.0,1136.0,20000.0,55.0,49149.0,1276.0,20000.0,56.0,49152.0,1199.0,19000.0,56.0,49129.0,765.0,18000.0,56.0,49135.0,721.0,18000.0,,,,,,,,
0:25,55.0,49150.0,1368.0,21000.0,57.0,49146.0,1232.0,20000.0,55.0,49153.0,1303.0,20000.0,55.0,49140.0,1290.0,19000.0,56.0,49120.0,843.0,18000.0,56.0,49111.0,792.0,18000.0,,,,,,,,
0:26,55.0,49147.0,1334.0,21000.0,57.0,49134.0,1198.0,20000.0,55.0,49156.0,1237.0,20000.0,55.0,49155.0,1245.0,19000.0,56.0,49115.0,811.0,18000.0,56.0,49123.0,772.0,18000.0,,,,,,,,
0:26,55.0,49141.0,1293.0,21000.0,57.0,49132.0,1164.0,20000.0,55.0,49151.0,1290.0,20000.0,55.0,49155.0,1216.0,19000.0,56.0,49123.0,785.0,18000.0,56.0,49128.0,742.0,18000.0,,,,,,,,
0:27,55.0,49153.0,1344.0,21000.0,57.0,49148.0,1210.0,20000.0,55.0,49152.0,1320.0,20000.0,55.0,49138.0,1262.0,19000.0,55.0,49123.0,821.0,18000.0,56.0,49119.0,780.0,18000.0,,,,,,,,
0:28,55.0,49124.0,1423.0,21000.0,57.0,49140.0,1284.0,20000.0,55.0,49156.0,1310.0,20000.0,55.0,49139.0,1330.0,19000.0,55.0,49135.0,879.0,18000.0,56.0,49122.0,834.0,18000.0,,,,,,,,
0:28,55.0,49135.0,1386.0,21000.0,57.0,49135.0,1242.0,20000.0,55.0,49140.0,1338.0,20000.0,55.0,49153.0,1290.0,19000.0,55.0,49132.0,843.0,18000.0,56.0,49128.0,807.0,18000.0,,,,,,,,
0:29,55.0,49135.0,1324.0,21000.0,57.0,49146.0,1190.0,20000.0,55.0,49159.0,1260.0,20000.0,55.0,49141.0,1244.0,19000.0,55.0,49135.0,808.0,18000.0,56.0,49134.0,764.0,18000.0,,,,,,,,
0:29,55.0,49144.0,1368.0,21000.0,57.0,49148.0,1236.0,20000.0,55.0,49162.0,1298.0,20000.0,55.0,49144.0,1284.0,19000.0,55.0,49121.0,838.0,18000.0,56.0,49115.0,800.0,18000.0,,,,,,,,
